Distribución;local;dia;bloque_30min;porcentaje_ventas
glovo&local;ICARIA;MARTES;15:30:00;0.007854646
glovo&local;ICARIA;MARTES;16:00:00;0.006466033
glovo&local;ICARIA;MARTES;16:30:00;0.005469453
glovo&local;ICARIA;MARTES;17:00:00;0.004208198
glovo&local;ICARIA;MARTES;17:30:00;0.003666979
glovo&local;ICARIA;MARTES;18:00:00;0.003461922
glovo&local;ICARIA;MARTES;18:30:00;0.00318912
glovo&local;ICARIA;MARTES;19:00:00;0.004157122
glovo&local;ICARIA;MARTES;19:30:00;0.004438293
glovo&local;ICARIA;MARTES;20:00:00;0.005674698
glovo&local;ICARIA;MARTES;20:30:00;0.006292642
glovo&local;ICARIA;MARTES;21:00:00;0.005915203
glovo&local;ICARIA;MARTES;21:30:00;0.006331864
glovo&local;ICARIA;MARTES;22:00:00;0.006672789
glovo&local;ICARIA;MARTES;22:30:00;0.006698431
glovo&local;ICARIA;MARTES;23:00:00;0.001725098
glovo&local;ICARIA;MARTES;23:30:00;0
glovo&local;ICARIA;MIERCOLES;0:00:00;0
glovo&local;ICARIA;MIERCOLES;0:30:00;0
glovo&local;ICARIA;MIERCOLES;1:00:00;0
glovo&local;ICARIA;MIERCOLES;1:30:00;0
glovo&local;ICARIA;MIERCOLES;2:00:00;0
glovo&local;ICARIA;MIERCOLES;2:30:00;0
glovo&local;ICARIA;MIERCOLES;3:00:00;0
glovo&local;ICARIA;MIERCOLES;3:30:00;0
glovo&local;ICARIA;MIERCOLES;4:00:00;0
glovo&local;ICARIA;MIERCOLES;4:30:00;0
glovo&local;ICARIA;MIERCOLES;5:00:00;0
glovo&local;ICARIA;MIERCOLES;5:30:00;0
glovo&local;ICARIA;MIERCOLES;6:00:00;0
glovo&local;ICARIA;MIERCOLES;6:30:00;0
glovo&local;ICARIA;MIERCOLES;7:00:00;0
glovo&local;ICARIA;MIERCOLES;7:30:00;0
glovo&local;ICARIA;MIERCOLES;8:00:00;0
glovo&local;ICARIA;MIERCOLES;8:30:00;0
glovo&local;ICARIA;MIERCOLES;9:00:00;0
glovo&local;ICARIA;MIERCOLES;9:30:00;0
glovo&local;ICARIA;MIERCOLES;10:00:00;0
glovo&local;ICARIA;MIERCOLES;10:30:00;0
glovo&local;ICARIA;MIERCOLES;11:00:00;0
glovo&local;ICARIA;MIERCOLES;11:30:00;0
glovo&local;ICARIA;MIERCOLES;12:00:00;0
glovo&local;ICARIA;MIERCOLES;12:30:00;0.004002767
glovo&local;ICARIA;MIERCOLES;13:00:00;0.005230212
glovo&local;ICARIA;MIERCOLES;13:30:00;0.007199632
glovo&local;ICARIA;MIERCOLES;14:00:00;0.011233615
glovo&local;ICARIA;MIERCOLES;14:30:00;0.012897216
glovo&local;ICARIA;MIERCOLES;15:00:00;0.010365474
glovo&local;ICARIA;MIERCOLES;15:30:00;0.008967576
glovo&local;ICARIA;MIERCOLES;16:00:00;0.007382209
glovo&local;ICARIA;MIERCOLES;16:30:00;0.006244424
glovo&local;ICARIA;MIERCOLES;17:00:00;0.00480446
glovo&local;ICARIA;MIERCOLES;17:30:00;0.004186556
glovo&local;ICARIA;MIERCOLES;18:00:00;0.003952444
glovo&local;ICARIA;MIERCOLES;18:30:00;0.003640988
glovo&local;ICARIA;MIERCOLES;19:00:00;0.004746147
glovo&local;ICARIA;MIERCOLES;19:30:00;0.005067157
glovo&local;ICARIA;MIERCOLES;20:00:00;0.00647875
glovo&local;ICARIA;MIERCOLES;20:30:00;0.007184251
glovo&local;ICARIA;MIERCOLES;21:00:00;0.006753332
glovo&local;ICARIA;MIERCOLES;21:30:00;0.007229031
glovo&local;ICARIA;MIERCOLES;22:00:00;0.00761826
glovo&local;ICARIA;MIERCOLES;22:30:00;0.007647536
glovo&local;ICARIA;MIERCOLES;23:00:00;0.001969528
glovo&local;ICARIA;MIERCOLES;23:30:00;0
glovo&local;ICARIA;JUEVES;0:00:00;0
glovo&local;ICARIA;JUEVES;0:30:00;0
glovo&local;ICARIA;JUEVES;1:00:00;0
glovo&local;ICARIA;JUEVES;1:30:00;0
glovo&local;ICARIA;JUEVES;2:00:00;0
glovo&local;ICARIA;JUEVES;2:30:00;0
glovo&local;ICARIA;JUEVES;3:00:00;0
glovo&local;ICARIA;JUEVES;3:30:00;0
glovo&local;ICARIA;JUEVES;4:00:00;0
glovo&local;ICARIA;JUEVES;4:30:00;0
glovo&local;ICARIA;JUEVES;5:00:00;0
glovo&local;ICARIA;JUEVES;5:30:00;0
glovo&local;ICARIA;JUEVES;6:00:00;0
